,id,dt,t,side,price,amount,cost
205,4315142561,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.00031,30.2009843
206,4315142562,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.0399,3887.158947
207,4315142563,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.0001,9.742253
208,4315142564,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.05376,5237.4352128
209,4315142565,2024-12-21 01:19:32.676000+00:00,1734743972676,0,97422.53,0.02615,2547.5991595
210,4315142566,2024-12-21 01:19:32.906000+00:00,1734743972906,1,97422.52,0.02427,2364.4445604
211,4315142567,2024-12-21 01:19:33.125000+00:00,1734743973125,0,97422.53,0.00102,99.3709806
212,4315142568,2024-12-21 01:19:33.131000+00:00,1734743973131,1,97422.52,0.014,1363.91528
213,4315142569,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.0001,9.742252
214,4315142570,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.00604,588.4320208
215,4315142571,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.1,9742.252
216,4315142572,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.00046,44.8143592
217,4315142573,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.0005,48.71126
218,4315142574,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.52,0.0001,9.742252
219,4315142575,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.44,0.0001,9.742244
220,4315142576,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.44,6e-05,5.8453464
221,4315142577,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.44,0.0001,9.742244
222,4315142578,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.43,0.00107,104.2420001
223,4315142579,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.43,0.0001,9.742243
224,4315142580,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.43,0.0001,9.742243
225,4315142581,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.14,0.0001,9.742214
226,4315142582,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.14,6e-05,5.8453284
227,4315142583,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.14,0.0001,9.742214
228,4315142584,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,0.00011,10.7164343
229,4315142585,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,0.00011,10.7164343
230,4315142586,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,0.00011,10.7164343
